venue,street_address,city,state,zip,phone_number,distance_from_duke
Cat's Cradle,300 E. Main St,Carbaro ,NC,27707,(919) 967-9053,drive
G2B Gastropub,3211 Shannon Rd Suite 106,Durham,NC,27707,(919) 251-9451,drive
Washington Duke Inn & Golf Club,3001 Cameron Blvd,Durham,NC,27708,(919) 493-6699,walk
Croasdaile Country Club,3800 Farm Gate Ave,Durham ‎,NC,27705,,drive
Duke Coffee House,Crowell Hall 106 Epworth Lane,Durham,NC ,27708,,walk
Asheville,,Ashville,NC,,,drive
